run_id,case,policy,electric,edge,from,to,t,u_E,a_E,P_MW,u_H,a_H,direction,H_in_MW,heat_loss_MW
import--electric--exact,import,electric,exact,1,1,2,1,1.0,0.0,0.3156989193009773,1.0,0.0,1.0,0.035266665712179575,0.001800000000000003
import--electric--exact,import,electric,exact,1,1,2,2,1.0,0.0,0.16662910046395177,1.0,0.0,1.0,0.09526666653469965,0.001799999999999996
import--electric--exact,import,electric,exact,1,1,2,3,1.0,-0.0,0.1153362424196561,1.0,0.0,1.0,0.036933333255034353,0.001800000000000003
import--electric--exact,import,electric,exact,1,1,2,4,1.0,-0.0,0.2756775216506103,1.0,0.0,1.0,0.035266665673446364,0.001800000000000003
import--electric--exact,import,electric,exact,2,2,3,1,1.0,0.0,0.11709220348709075,1.0,0.0,1.0,0.03346666571217961,0.001800000000000003
import--electric--exact,import,electric,exact,2,2,3,2,1.0,0.0,0.16621385211195894,1.0,0.0,1.0,0.09346666646807011,0.001799999999999996
import--electric--exact,import,electric,exact,2,2,3,3,1.0,-0.0,0.11510888039307242,1.0,0.0,1.0,0.03513333325503448,0.0017999999217011495
import--electric--exact,import,electric,exact,2,2,3,4,1.0,-0.0,0.1170986208613062,1.0,0.0,1.0,0.033466665673446465,0.001800000000000003
import--electric--exact,import,electric,exact,3,1,3,1,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,3,1,3,2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,3,1,3,3,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--exact,import,electric,exact,3,1,3,4,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,1,1,2,1,1.0,0.0,0.3156993235428095,1.0,0.0,1.0,0.035266667924132356,0.001800000000000003
import--heat--socp,import,heat,socp,1,1,2,2,1.0,0.0,0.16662909701553255,1.0,0.0,1.0,0.09526660214843041,0.001799999999999996
import--heat--socp,import,heat,socp,1,1,2,3,1.0,0.0,0.11533629873142114,1.0,0.0,1.0,0.03693334872035963,0.001800000000000003
import--heat--socp,import,heat,socp,1,1,2,4,1.0,0.0,0.2756768729323259,1.0,0.0,1.0,0.035266678128086454,0.001800000000000003
import--heat--socp,import,heat,socp,2,2,3,1,1.0,0.0,0.11709221601264708,1.0,0.0,1.0,0.03346666698670174,0.001800000000000003
import--heat--socp,import,heat,socp,2,2,3,2,1.0,0.0,0.16621384808442213,1.0,0.0,1.0,0.09346659616057834,0.001799999999999996
import--heat--socp,import,heat,socp,2,2,3,3,1.0,0.0,0.11510893581234388,1.0,0.0,1.0,0.03513334805600311,0.001800000000000003
import--heat--socp,import,heat,socp,2,2,3,4,1.0,0.0,0.1170986767078697,1.0,0.0,1.0,0.033466677176751745,0.001800000000000003
import--heat--socp,import,heat,socp,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,3,1,3,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--socp,import,heat,socp,3,1,3,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,1,1,2,1,1.0,0.0,0.3156989193066162,1.0,0.0,1.0,0.035266665812550446,0.001800000000000003
import--heat--exact,import,heat,exact,1,1,2,2,1.0,0.0,0.1666291004720471,1.0,0.0,1.0,0.0952666667130783,0.001799999999999996
import--heat--exact,import,heat,exact,1,1,2,3,1.0,0.0,0.1153362424261751,1.0,0.0,1.0,0.03693333328465917,0.001800000000000003
import--heat--exact,import,heat,exact,1,1,2,4,1.0,0.0,0.275677521653091,1.0,0.0,1.0,0.035266665773949116,0.001800000000000003
import--heat--exact,import,heat,exact,2,2,3,1,1.0,0.0,0.11709220348862157,1.0,0.0,1.0,0.03346666578777025,0.001800000000000003
import--heat--exact,import,heat,exact,2,2,3,2,1.0,0.0,0.1662138521200225,1.0,0.0,1.0,0.09346666649758759,0.001799999999999996
import--heat--exact,import,heat,exact,2,2,3,3,1.0,0.0,0.1151088803995735,1.0,0.0,1.0,0.035133333333333336,0.001800000000000003
import--heat--exact,import,heat,exact,2,2,3,4,1.0,0.0,0.11709862086284181,1.0,0.0,1.0,0.03346666574917843,0.001800000000000003
import--heat--exact,import,heat,exact,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,3,1,3,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
