stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
1,initialization,3-41,model,3,3,0.0,K,0.0001,true
1,initialization,3-41,model,3,3,0.0,K,0.0001,true
1,initialization,3-24,model,3,3,0.0,kPa,0.001,true
1,initialization,3-41,model,3,3,0.0,K,0.0001,true
1,initialization,3-41,model,3,3,0.0,K,0.0001,true
1,initialization,3-24,model,3,3,0.0,kPa,0.001,true
1,initialization,3-24-order,model,3,3,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,3,4,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,3,4,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,3,4,0.005965705211131378,MW,3.0e-6,false
1,initialization,3-17-original,physics,3,4,0.005965705211131378,MW,3.0e-6,false
1,initialization,3-42,model,3,4,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,3,4,0.0,MW,3.0e-6,true
1,initialization,3-38,model,3,4,0.0,K,0.0001,true
1,initialization,R2-load-return,model,3,4,0.0,K,0.0001,true
1,initialization,3-41,model,3,4,0.0,K,0.0001,true
1,initialization,3-41,model,3,4,0.0,K,0.0001,true
1,initialization,3-24,model,3,4,0.0,kPa,0.001,true
1,initialization,3-41,model,3,4,0.0,K,0.0001,true
1,initialization,3-41,model,3,4,0.0,K,0.0001,true
1,initialization,3-24,model,3,4,0.0,kPa,0.001,true
1,initialization,3-24-order,model,3,4,0.0,normalized,1.0e-6,true
1,initialization,3-35:36,model,S1,1,0.0,K,0.0001,true
1,initialization,mix-original,physics,S1,1,0.0,K,0.0001,true
1,initialization,3-35:36,model,S1,2,0.0,K,0.0001,true
1,initialization,mix-original,physics,S1,2,0.0,K,0.0001,true
1,initialization,3-35:36,model,S1,3,0.0,K,0.0001,true
1,initialization,mix-original,physics,S1,3,0.0,K,0.0001,true
1,initialization,3-35:36,model,S1,4,0.0,K,0.0001,true
1,initialization,mix-original,physics,S1,4,0.0,K,0.0001,true
1,initialization,3-35:36,physics,S2,1,2.7510941660303274,K,0.0001,false
1,initialization,mix-original,physics,S2,1,2.7510941660303274,K,0.0001,false
1,initialization,3-55,model,S2,1,0.0,1,1.0e-6,true
1,initialization,3-55-binary,model,S2/1,1,0.0,1,1.0e-6,true
1,initialization,3-53:54,model,S2,1,0.0,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,1,5.684341886080802e-14,K,0.0001,true
1,initialization,3-55-binary,model,S2/2,1,0.0,1,1.0e-6,true
1,initialization,3-53:54,model,S2,1,0.0,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,1,0.0,K,0.0001,true
1,initialization,3-35:36,physics,S2,2,4.252192593485404,K,0.0001,false
1,initialization,mix-original,physics,S2,2,4.252192593485404,K,0.0001,false
1,initialization,3-55,model,S2,2,0.0,1,1.0e-6,true
1,initialization,3-55-binary,model,S2/1,2,1.3206160032197545e-7,1,1.0e-6,true
1,initialization,3-53:54,model,S2,2,0.0,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,2,7.384857260780765e-8,K,0.0001,true
1,initialization,3-55-binary,model,S2/2,2,1.3206160032197545e-7,1,1.0e-6,true
1,initialization,3-53:54,model,S2,2,1.1462263451912848e-7,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,2,2.09789777932394e-6,K,0.0001,true
1,initialization,3-35:36,physics,S2,3,4.779831252775523,K,0.0001,false
1,initialization,mix-original,physics,S2,3,4.779831252775523,K,0.0001,false
1,initialization,3-55,model,S2,3,0.0,1,1.0e-6,true
1,initialization,3-55-binary,model,S2/1,3,0.0,1,1.0e-6,true
1,initialization,3-53:54,model,S2,3,0.0,kg/s,4.0e-6,true
