scheme,scenario,probability,worst_single_event,epsilon,individually_allowed
3C,train_000373,0.01,0.07017335760720911,0.05,false
3C,train_001370,0.0145,0.07325948237475889,0.05,false
3C,train_000994,0.01,0.07535781226746352,0.05,false
3C,train_001225,0.0155,0.07297621664817844,0.05,false
3C,train_000460,0.018,0.07682181585239836,0.05,false
3C,train_001357,0.002,0.044164787994248146,0.05,true
3C,train_001718,0.0105,0.06268257912540179,0.05,false
3C,train_001838,0.012,0.07166965971410656,0.05,false
3C,train_001846,0.01,0.071834914315409,0.05,false
3C,train_000681,0.0075,0.06414135893897419,0.05,false
3C,train_000965,0.0095,0.0694160480543241,0.05,false
3C,train_001625,0.0135,0.07144990835213372,0.05,false
3C,train_000363,0.0155,0.07957798094542716,0.05,false
3C,train_001827,0.011,0.059869574186876655,0.05,false
3C,train_000236,0.009,0.06519526233136032,0.05,false
3C,train_000735,0.014,0.07704569898936876,0.05,false
3C,train_000755,0.013,0.06962592640733675,0.05,false
3C,train_000570,0.0115,0.07296787199571651,0.05,false
3C,train_001488,0.0055,0.062474666452355346,0.05,false
3C,train_001852,0.0225,0.07864034167138866,0.05,false
3C,train_001005,0.0035,0.05256199839228225,0.05,false
3C,train_000002,0.007,0.06918791254130914,0.05,false
3C,train_000281,0.01,0.06927216771488423,0.05,false
3C,train_001573,0.0055,0.06545460332230146,0.05,false
3C,train_000720,0.0035,0.06132207469535905,0.05,false
3C,train_001668,0.012,0.07518750130855971,0.05,false
3C,train_001819,0.0035,0.06326914057360061,0.05,false
3C,train_000451,0.0175,0.0827555202092036,0.05,false
3C,train_001071,0.0135,0.07173661569625615,0.05,false
3C,train_000612,0.0065,0.06383986919781148,0.05,false
3C,train_001285,0.0215,0.08542271332460254,0.05,false
3C,train_000458,0.0095,0.07319333673705561,0.05,false
3C,train_001482,0.0105,0.06854462128975765,0.05,false
3C,train_000087,0.015,0.0702200804697728,0.05,false
3C,train_001275,0.0045,0.06461792114819381,0.05,false
3C,train_001041,0.012,0.06629344867222416,0.05,false
3C,train_000197,0.009,0.07200159747531923,0.05,false
3C,train_001878,0.0085,0.07239883666772064,0.05,false
3C,train_001743,0.005,0.06440694272325509,0.05,false
3C,train_000669,0.0095,0.06490830869767567,0.05,false
3C,train_000592,0.005,0.06455366749539596,0.05,false
3C,train_001134,0.0075,0.06553084531045741,0.05,false
3C,train_000330,0.0135,0.07132937004245639,0.05,false
3C,train_001883,0.0105,0.0741799576420722,0.05,false
3C,train_001339,0.0135,0.07558296151461974,0.05,false
3C,train_001295,0.0145,0.0766897551903638,0.05,false
3C,train_000688,0.012,0.07436746722483428,0.05,false
3C,train_001753,0.005,0.06287265557732721,0.05,false
3C,train_000006,0.011,0.0750755078733381,0.05,false
3C,train_000928,0.0085,0.07240036488630874,0.05,false
3C,train_000666,0.012,0.0724599554935348,0.05,false
3C,train_001092,0.0105,0.06509177277091155,0.05,false
3C,train_000855,0.005,0.05918134673375593,0.05,false
3C,train_001771,0.0115,0.0758965671442554,0.05,false
3C,train_001635,0.011,0.07196306976101294,0.05,false
3C,train_001037,0.012,0.07320350031548783,0.05,false
3C,train_001667,0.012,0.07362214993247942,0.05,false
3C,train_000931,0.008,0.07231904725479149,0.05,false
3C,train_001340,0.0175,0.08198739941637634,0.05,false
3C,train_001413,0.011,0.06533035971071352,0.05,false
3C,train_000721,0.008,0.06843274141321408,0.05,false
3C,train_000232,0.0055,0.060955759804062246,0.05,false
3C,train_000601,0.007,0.06238609894560975,0.05,false
3C,train_001414,0.004,0.05826950811116249,0.05,false
3C,train_000700,0.0095,0.07057562474700932,0.05,false
3C,train_000814,0.007,0.061102548919529154,0.05,false
3C,train_001700,0.01,0.07366858542393444,0.05,false
3C,train_000946,0.013,0.07329077936614935,0.05,false
3C,train_000317,0.007,0.05965247606484303,0.05,false
3C,train_000535,0.0135,0.07294229578360677,0.05,false
3C,train_001051,0.0095,0.0668656318480803,0.05,false
3C,train_000438,0.012,0.07317683626772728,0.05,false
3C,train_000208,0.013,0.0788810709492824,0.05,false
3C,train_000555,0.0115,0.06757145013345904,0.05,false
3C,train_000547,0.0085,0.0679430102978937,0.05,false
3C,train_000051,0.0055,0.06582601925514604,0.05,false
3C,train_000751,0.0125,0.07578971056187961,0.05,false
3C,train_001183,0.0055,0.06431343001241617,0.05,false
3C,train_001860,0.012,0.07464985055745407,0.05,false
3C,train_000328,0.01,0.06772648777393898,0.05,false
