stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RW1-on,36,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RW1-state,36,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,binary-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,binary-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,binary-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,binary-z,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,forest-edges,1,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,forest-independent,1,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,inactive-charge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,inactive-discharge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,inactive-energy,136,0.0,0.0,1.1278250000000002e-5,MWh,true
