equation,scope,entity,t,residual,unit,tolerance,pass
3-53:54,model,S2,2,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,2,0.0,K,0.0001,true
3-35:36,physics,S2,3,2.552744933232134,K,0.0001,false
mix-original,physics,S2,3,2.552744933232134,K,0.0001,false
3-55,model,S2,3,0.0,1,1.0e-6,true
3-55-binary,model,S2/1,3,0.0,1,1.0e-6,true
3-53:54,model,S2,3,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,3,0.0,K,0.0001,true
3-55-binary,model,S2/2,3,0.0,1,1.0e-6,true
3-53:54,model,S2,3,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,3,0.0,K,0.0001,true
3-35:36,physics,S2,4,2.823399965068802,K,0.0001,false
mix-original,physics,S2,4,2.823399965068802,K,0.0001,false
3-55,model,S2,4,0.0,1,1.0e-6,true
3-55-binary,model,S2/1,4,0.0,1,1.0e-6,true
3-53:54,model,S2,4,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,4,0.0,K,0.0001,true
3-55-binary,model,S2/2,4,0.0,1,1.0e-6,true
3-53:54,model,S2,4,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,4,0.0,K,0.0001,true
3-35:36,model,S3,1,0.0,K,0.0001,true
mix-original,physics,S3,1,0.0,K,0.0001,true
3-35:36,model,S3,2,0.0,K,0.0001,true
mix-original,physics,S3,2,0.0,K,0.0001,true
3-35:36,model,S3,3,0.0,K,0.0001,true
mix-original,physics,S3,3,0.0,K,0.0001,true
3-35:36,model,S3,4,0.0,K,0.0001,true
mix-original,physics,S3,4,0.0,K,0.0001,true
3-35:36,model,R1,1,0.0,K,0.0001,true
mix-original,physics,R1,1,0.0,K,0.0001,true
3-35:36,model,R1,2,0.0,K,0.0001,true
mix-original,physics,R1,2,0.0,K,0.0001,true
3-35:36,model,R1,3,0.0,K,0.0001,true
mix-original,physics,R1,3,0.0,K,0.0001,true
3-35:36,model,R1,4,0.0,K,0.0001,true
mix-original,physics,R1,4,0.0,K,0.0001,true
3-35:36,model,R2,1,0.0,K,0.0001,true
mix-original,physics,R2,1,0.0,K,0.0001,true
3-35:36,model,R2,2,0.0,K,0.0001,true
mix-original,physics,R2,2,0.0,K,0.0001,true
3-35:36,model,R2,3,0.0,K,0.0001,true
mix-original,physics,R2,3,0.0,K,0.0001,true
3-35:36,model,R2,4,0.0,K,0.0001,true
mix-original,physics,R2,4,0.0,K,0.0001,true
3-35:36,model,R3,1,0.0,K,0.0001,true
mix-original,physics,R3,1,0.0,K,0.0001,true
3-35:36,model,R3,2,0.0,K,0.0001,true
mix-original,physics,R3,2,0.0,K,0.0001,true
3-35:36,model,R3,3,0.0,K,0.0001,true
mix-original,physics,R3,3,0.0,K,0.0001,true
3-35:36,model,R3,4,0.0,K,0.0001,true
mix-original,physics,R3,4,0.0,K,0.0001,true
3-23,model,1,1,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,1,1,0.0,kg/s,4.0e-6,true
3-23,model,1,2,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,1,2,0.0,kg/s,4.0e-6,true
3-23,model,1,3,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,1,3,0.0,kg/s,4.0e-6,true
3-23,model,1,4,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,1,4,0.0,kg/s,4.0e-6,true
3-39:40,model,S1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,S1,1,5.684341886080802e-17,normalized,1.0e-6,true
3-26,model,S1,1,0.0,normalized,1.0e-6,true
3-25,physics,S1,1,0.23013548551127253,normalized,1.0e-6,false
WMM-replay,physics,S1,1,1.0444322267103985,K,0.0001,false
3-52,model,S1,1,1.566746732351021e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,1,1.566746732351021e-16,MW,3.0e-6,true
3-39:40,model,S1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,S1,2,5.684341886080802e-17,normalized,1.0e-6,true
3-26,model,S1,2,0.0,normalized,1.0e-6,true
3-25,physics,S1,2,0.23013548551127253,normalized,1.0e-6,false
WMM-replay,physics,S1,2,2.2611377947309848,K,0.0001,false
3-52,model,S1,2,2.014388655879884e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,2,2.014388655879884e-16,MW,3.0e-6,true
3-39:40,model,S1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,S1,3,5.684341886080802e-17,normalized,1.0e-6,true
3-26,model,S1,3,0.0,normalized,1.0e-6,true
