record_id,run_id,id,group,entity,t,residual,unit,tolerance,normalized,pass
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-16,electric,e12,2,2.905661822261152e-17,pu,1.0e-6,2.905661822261152e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P-line-bound,electric,e12,2,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,Q-line-bound,electric,e12,2,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,mass,heat,1,2,0.0,kg/s,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-20,heat,1,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-21,heat,1,2,5.684341886080802e-14,K,0.0001,5.684341886080801e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-S,heat,1,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-R,heat,1,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,mass,heat,2,2,0.0,kg/s,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-20,heat,2,2,5.684341886080802e-14,K,0.0001,5.684341886080801e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-21,heat,2,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-S,heat,2,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-R,heat,2,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-18,heat,source,2,1.942890293094024e-16,MW,2.0e-6,9.71445146547012e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,source-temperature,heat,source,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-19,heat,building,2,4.163336342344337e-17,MW,2.0e-6,2.0816681711721685e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,heat-nonnegative,heat,building,2,0.0,MW,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-31,electric,building,2,5.120699222130619e-18,MW,0.000101,5.0699992298322957e-14,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,load-return,heat,building,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R5-D-building,comfort,building,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building-energy,comfort,building,2,3.469446951953614e-17,MWh,2.0e-6,1.734723475976807e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-28,comfort,building,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-25-26-S,heat,h12,2,5.684341886080802e-14,K,0.0001,5.684341886080801e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,transport-weight-S,heat,h12,2,0.0,1,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-25-26-R,heat,h12,2,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,transport-weight-R,heat,h12,2,0.0,1,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R5-D-delivery,delivery,PCC,2,3.5475110628274914e-15,MW,0.000101,3.512387190918308e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-3-epigraph,delivery,PCC,2,3.588637115025285e-15,MW,0.000101,3.55310605448048e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-3-exact,auxiliary,PCC,2,3.588637115025285e-15,MW,0.000101,3.55310605448048e-11,true
