mode,run_id,device,time_h,commitment
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,3.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,3.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,3.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,3.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,4.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,4.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,4.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,4.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,5.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,5.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,5.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,5.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,6.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,6.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,6.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,6.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,7.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,7.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,7.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,7.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,8.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,8.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,8.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,8.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,9.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,9.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,9.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,9.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,10.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,10.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,10.5,0.0
