run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,root_voltage,model,1,1,9.992007221626409e-16,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,P_branch,model,1,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,Q_branch,model,1,1,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,ell,model,1,1,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,voltage_drop,model,1,1,8.740702389306576e-16,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,branch_socp,model,1,1,0.0,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,branch_equality,electric_original,1,1,1.4027143742413595e-6,1.0e-6,pu⁴,false
open_flexible--distributed,open_flexible,distributed,10,P_branch,model,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,Q_branch,model,2,1,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,ell,model,2,1,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,voltage_drop,model,2,1,6.019795393500532e-16,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,branch_socp,model,2,1,0.0,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,branch_equality,electric_original,2,1,1.4727297410073968e-6,1.0e-6,pu⁴,false
open_flexible--distributed,open_flexible,distributed,10,voltage,model,1,1,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,electric_balance,model,1,1,1.1102230246251565e-16,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_balance,model,1,1,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,mass_balance,heat,1,1,4.520689378395559e-15,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,heat_balance,heat,1,1,2.193234743125272e-13,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,1,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,1,1,2.9733169591427405e-14,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,voltage,model,2,1,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,electric_balance,model,2,1,4.748967930012782e-8,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_balance,model,2,1,1.9885121327334332e-11,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,mass_balance,heat,2,1,4.440892098500626e-16,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,heat_balance,heat,2,1,2.186739736509402e-8,3.0e-6,MW,true
