run_id,case,method,pattern,mode,status,raw_A1,model_A1,electric_original_A1,cost,central_cost,bound,gap,iterations,elapsed_sec
import_flexible--distributed,import_flexible,distributed,8,1110,consensus_converged,true,true,true,192.60025022460823,192.59894184574858,NaN,NaN,208,2.6410000324249268
import_flexible--distributed,import_flexible,distributed,9,0001,consensus_converged,true,true,true,197.6150315900372,197.60812065155295,NaN,NaN,202,2.8489999771118164
import_flexible--distributed,import_flexible,distributed,10,1001,consensus_converged,true,true,true,197.61488634438712,197.6081206378298,NaN,NaN,226,2.859999895095825
import_flexible--distributed,import_flexible,distributed,11,0101,consensus_converged,true,true,true,197.65231306620205,197.65119921053093,NaN,NaN,345,4.653000116348267
import_flexible--distributed,import_flexible,distributed,12,1101,consensus_converged,true,true,true,197.65275423130225,197.6511992109524,NaN,NaN,142,1.8470001220703125
import_flexible--distributed,import_flexible,distributed,13,0011,consensus_converged,true,true,true,191.7936622235215,191.79273231099634,NaN,NaN,906,12.072999954223633
import_flexible--distributed,import_flexible,distributed,14,1011,consensus_converged,true,true,true,194.43804638738214,194.43712541202405,NaN,NaN,717,9.789999961853027
import_flexible--distributed,import_flexible,distributed,15,0111,consensus_converged,true,true,true,192.58727850225407,192.58570642816562,NaN,NaN,141,1.8569998741149902
import_flexible--distributed,import_flexible,distributed,16,1111,consensus_converged,true,true,true,197.65274992487196,197.6511992135134,NaN,NaN,144,2.135999917984009
import_flexible--central_enumeration,import_flexible,central_enumeration,1,0000,solver_optimal,true,true,true,197.6511992240641,197.6511992240641,197.65119920571962,9.998298392797889e-11,0,0.012000083923339844
import_flexible--central_enumeration,import_flexible,central_enumeration,2,1000,solver_optimal,true,true,true,197.6143043409433,197.6143043409433,197.61430429047797,2.7279658756862433e-10,0,0.013000011444091797
import_flexible--central_enumeration,import_flexible,central_enumeration,3,0100,solver_optimal,true,true,true,197.65119920919108,197.65119920919108,197.65119913646637,3.9514204756287443e-10,0,0.05900001525878906
import_flexible--central_enumeration,import_flexible,central_enumeration,4,1100,solver_optimal,true,true,true,197.65119921034278,197.65119921034278,197.6511991411651,3.7581511481572045e-10,0,0.013000011444091797
import_flexible--central_enumeration,import_flexible,central_enumeration,5,0010,solver_optimal,true,true,true,191.79273230880648,191.79273230880648,191.79273229655615,6.824121338373297e-11,0,0.012000083923339844
import_flexible--central_enumeration,import_flexible,central_enumeration,6,1010,solver_optimal,true,true,true,191.80010240445927,191.80010240445927,191.80010239989062,2.568918100187142e-11,0,0.01100015640258789
import_flexible--central_enumeration,import_flexible,central_enumeration,7,0110,solver_optimal,true,true,true,192.58570637342262,192.58570637342262,192.58570621325,8.897605720266985e-10,0,0.010999917984008789
import_flexible--central_enumeration,import_flexible,central_enumeration,8,1110,solver_optimal,true,true,true,192.59894184574858,192.59894184574858,192.59894178701794,3.272736502215923e-10,0,0.010999917984008789
import_flexible--central_enumeration,import_flexible,central_enumeration,9,0001,solver_optimal,true,true,true,197.60812065155295,197.60812065155295,197.6081206419749,5.19767979173009e-11,0,0.009999990463256836
import_flexible--central_enumeration,import_flexible,central_enumeration,10,1001,solver_optimal,true,true,true,197.6081206378298,197.6081206378298,197.60812058157074,3.050250432212929e-10,0,0.010999917984008789
import_flexible--central_enumeration,import_flexible,central_enumeration,11,0101,solver_optimal,true,true,true,197.65119921053093,197.65119921053093,197.6511991420188,3.7216108154270357e-10,0,0.009999990463256836
import_flexible--central_enumeration,import_flexible,central_enumeration,12,1101,solver_optimal,true,true,true,197.6511992109524,197.6511992109524,197.65119914473428,3.597564071777659e-10,0,0.01100015640258789
import_flexible--central_enumeration,import_flexible,central_enumeration,13,0011,solver_optimal,true,true,true,191.79273231099634,191.79273231099634,191.79273230663227,2.437483630173489e-11,0,0.013000011444091797
import_flexible--central_enumeration,import_flexible,central_enumeration,14,1011,solver_optimal,true,true,true,194.43712541202405,194.43712541202405,194.43712539380698,1.0081114792730026e-10,0,0.011999845504760742
import_flexible--central_enumeration,import_flexible,central_enumeration,15,0111,solver_optimal,true,true,true,192.58570642816562,192.58570642816562,192.5857063705359,3.212509890400886e-10,0,0.013000011444091797
import_flexible--central_enumeration,import_flexible,central_enumeration,16,1111,solver_optimal,true,true,true,197.6511992135134,197.6511992135134,197.65119916192876,2.808372836138989e-10,0,0.012000083923339844
import_fixed--distributed,import_fixed,distributed,1,0000,iteration_limit,false,false,false,213.14279898777983,213.14234335349806,NaN,NaN,1000,13.364000082015991
import_fixed--distributed,import_fixed,distributed,2,1000,consensus_converged,true,true,true,213.13924370351378,213.13837441626515,NaN,NaN,518,6.756999969482422
import_fixed--distributed,import_fixed,distributed,3,0100,consensus_converged,true,true,true,213.1428175541261,213.14234331477707,NaN,NaN,443,5.878000020980835
import_fixed--distributed,import_fixed,distributed,4,1100,consensus_converged,true,true,true,213.1425530344202,213.14234335392212,NaN,NaN,474,6.332000017166138
import_fixed--distributed,import_fixed,distributed,5,0010,consensus_converged,true,true,true,207.6902071625119,207.6896697281536,NaN,NaN,855,11.454999923706055
import_fixed--distributed,import_fixed,distributed,6,1010,consensus_converged,true,true,true,207.70040188940888,207.69996095420345,NaN,NaN,956,13.09600019454956
import_fixed--distributed,import_fixed,distributed,7,0110,consensus_converged,true,true,true,208.0817138197678,208.08148310855358,NaN,NaN,954,12.77999997138977
import_fixed--distributed,import_fixed,distributed,8,1110,consensus_converged,true,true,true,208.0954122511407,208.0946962160869,NaN,NaN,250,3.2900002002716064
import_fixed--distributed,import_fixed,distributed,9,0001,iteration_limit,false,false,false,213.1354433635194,213.13511884675347,NaN,NaN,1000,13.76200008392334
import_fixed--distributed,import_fixed,distributed,10,1001,iteration_limit,false,false,false,213.1354718871254,213.13511882155916,NaN,NaN,1000,13.539000034332275
import_fixed--distributed,import_fixed,distributed,11,0101,consensus_converged,true,true,true,213.14283121874604,213.14234332112736,NaN,NaN,356,4.894000053405762
