run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
open_fixed--central_misocp,open_fixed,central_misocp,0,2,3,0.0,0.44999999857593376,0.0721649418798393,0.0,0.0,6.441511893327437e-7,0.2,0.1,0.006393603936990233
open_fixed--central_misocp,open_fixed,central_misocp,0,2,4,0.0,0.08999999817382716,0.09999999798630067,0.0,0.0985337622282905,0.0,0.2,0.1,0.00639292588312404
open_fixed--central_misocp,open_fixed,central_misocp,0,3,1,0.0014999986313635528,0.0,0.0,3.6416695253004698e-9,0.0,0.0,0.25,0.2,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,3,2,0.14999999685859383,0.0,0.0,1.4230722771076711e-9,0.0,0.0,0.3,0.25,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,3,3,0.07108764058298835,0.0,0.0,1.8443024430122175e-9,0.0,0.0,0.25,0.2,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,3,4,0.0014999992653739142,0.0,0.0,3.5205080432246844e-9,0.0,0.0,0.25,0.2,0.0
open_fixed--central_exact,open_fixed,central_exact,0,1,1,0.0014999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_fixed--central_exact,open_fixed,central_exact,0,1,2,0.06783166997240345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_fixed--central_exact,open_fixed,central_exact,0,1,3,0.0014999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_fixed--central_exact,open_fixed,central_exact,0,1,4,0.0014999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_fixed--central_exact,open_fixed,central_exact,0,2,1,0.0,0.0,0.1,0.0,0.010805723313941112,0.0,0.2,0.1,0.1
open_fixed--central_exact,open_fixed,central_exact,0,2,2,0.0,0.27,0.037400665437875985,0.0,0.0,0.1,0.25,0.12,0.11026543714824406
open_fixed--central_exact,open_fixed,central_exact,0,2,3,0.0,0.45,0.07216311381362614,0.0,0.0,0.0,0.2,0.1,0.0050022792535072275
open_fixed--central_exact,open_fixed,central_exact,0,2,4,0.0,0.09000000017182894,0.1,0.0,0.09999760078578188,0.0,0.2,0.1,0.0050022792535072275
open_fixed--central_exact,open_fixed,central_exact,0,3,1,0.0014999999767842857,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0
open_fixed--central_exact,open_fixed,central_exact,0,3,2,0.14999999986253099,0.0,0.0,-1.2163070550741395e-10,0.0,0.0,0.3,0.25,0.0
open_fixed--central_exact,open_fixed,central_exact,0,3,3,0.07109221553429562,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0
open_fixed--central_exact,open_fixed,central_exact,0,3,4,0.0014999999474491193,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0
import_flexible--distributed,import_flexible,distributed,13,1,1,0.029205958107512062,1.2405687877101766e-17,8.764554056728306e-17,1.449167634626661e-7,-4.641263844729381e-18,3.719524123022325e-18,-2.228370907183651e-19,2.0139489993713943e-15,8.561133709990526e-18
import_flexible--distributed,import_flexible,distributed,13,1,2,0.07940099718498164,3.5924668057489386e-17,-1.6097900683387547e-17,1.2510609222430872e-9,-1.9371656687782105e-17,1.6812826276455947e-17,-5.58128903481417e-19,2.017992059853466e-15,9.248364190972736e-18
import_flexible--distributed,import_flexible,distributed,13,1,3,0.030777468892654015,4.1775774030336114e-17,2.0154655629894017e-17,3.648375421047149e-9,-2.3610781290939383e-17,2.067457541658828e-17,-6.416844974449418e-19,2.0148100714747432e-15,1.7005855600826637e-18
import_flexible--distributed,import_flexible,distributed,13,1,4,0.029196210707115818,1.4143372138853383e-17,8.143527449622854e-17,1.541640660329655e-7,-5.718788559784491e-18,4.6753126562359254e-18,-2.476632423013581e-19,2.0139997040664025e-15,-1.0253675192895123e-17
import_flexible--distributed,import_flexible,distributed,13,2,1,8.848823001711484e-16,2.7954243360758537e-16,0.03577157662184461,2.9374910155467593e-16,4.3237362269741447e-14,0.05020461151588938,0.21194616900130828,0.10731503149887127,0.1
import_flexible--distributed,import_flexible,distributed,13,2,2,8.287679460473084e-16,0.2699997560333514,0.04310340888496906,2.2456624375979933e-16,4.349332125271199e-14,0.04004560061725989,0.26694330402097727,0.12931385395661676,0.04715304050963121
import_flexible--distributed,import_flexible,distributed,13,2,3,7.684172812164522e-16,0.3552464579152794,0.03651711997539949,3.7482016748543937e-16,0.09999936434942122,4.413345094505114e-14,0.2187329751655155,0.10955163460688992,0.004999776702030542
import_flexible--distributed,import_flexible,distributed,13,2,4,8.595865469032981e-16,0.08999975814666443,0.03577235964569422,3.1627934107353246e-16,8.707011692673357e-7,4.278210523960175e-14,0.21195177236561907,0.1073173811304857,0.09999917283393424
import_flexible--distributed,import_flexible,distributed,13,3,1,0.14999984392075424,4.977252169977294e-16,6.186169143582266e-16,0.00024141457358665866,7.891404090962054e-18,-6.1386363421153e-17,0.26693805907852836,0.2116759186743285,-5.045858301528776e-17
import_flexible--distributed,import_flexible,distributed,13,3,2,0.14999925796478003,4.763803356691291e-16,-8.102842417752621e-16,1.8883590090385927e-7,2.6168897633336678e-17,-7.779051470326199e-17,0.3159056834670474,0.2716768651797589,-2.880816279626115e-17
import_flexible--distributed,import_flexible,distributed,13,3,3,0.14999954133577584,4.999969937080635e-16,5.999101051374569e-16,8.25943013994188e-7,-5.240170104174084e-19,-5.242206303443949e-17,0.26495239278852106,0.21333268023186416,1.6895889128120194e-17
import_flexible--distributed,import_flexible,distributed,13,3,4,0.14999984457169885,4.956429326890208e-16,6.180338310708572e-16,0.0002537188467983171,1.2189395317125928e-17,-6.591494363770734e-17,0.2669449947028285,0.2116759201313508,1.6747768332964053e-17
import_flexible--central_enumeration,import_flexible,central_enumeration,5,1,1,0.029388889502278977,1.4250183117197105e-12,9.027682763832596e-13,5.17730482822438e-11,9.43246562921366e-14,-7.472844968949871e-13,-4.644439663666662e-14,9.626586995233966e-14,-9.869138399649853e-15
