owner,id,run_id,status,model_pass,kkt_pass,cost_complete,comfort_outcome,peak_excess_K,net_cost_CNY,called_energy_MWh,mismatch_MWh,trained_label,day_ahead_cost_CNY,device_cost_CNY,real_time_settlement_CNY,delivery_penalty_CNY,physical_max_normalized,lp_kkt_max_normalized,lp_gap_normalized,elapsed_sec,budget_overrun_sec
3B,test_000334,r9-day-ed3aa0e4-5e8e-4846-95fe-90d9fbbeefce,solver_optimal,true,true,true,pass,0.0,385650.87398075557,1.4608366703784585e-12,4.1133633784812155e-14,0,292050.3464153371,93600.52756541863,-2.507661633899261e-10,8.226726756962432e-11,1.0118128557223827e-7,1.3654088618285322e-6,4.3531124983189694e-11,1.5309998989105225,0.0
3B,test_000335,r9-day-ffdbd461-b323-4589-8348-83f3edc3b18a,solver_optimal,true,true,true,pass,0.0,383764.03911062697,9.350721787646959e-13,7.738605354703748e-14,0,292050.3464153371,91713.69269528992,-2.411084665254748e-10,1.5477210709407497e-10,1.4779288903810084e-7,1.9893893996864746e-6,1.6977344207570241e-10,1.5910000801086426,0.0
3B,test_000336,r9-day-b534376c-04ad-4154-ac6c-0cec9b85b3ad,solver_optimal,true,true,true,pass,0.0,384581.89556619845,1.2340515908702035e-12,6.863403579970964e-14,0,292050.3464153371,92531.5491508608,3.961403649554996e-10,1.3726807159941929e-10,1.6768808563938364e-7,2.248739610053426e-6,2.8307585522376983e-11,1.6599998474121094,0.0
3B,test_000337,r9-day-751edaa3-0587-4043-83d9-f92ffe2665ca,solver_optimal,true,true,true,pass,0.0,388279.5796071988,8.58825453429847e-13,9.157535411901107e-14,0,292050.3464153371,96229.2331918614,7.879918939579511e-11,1.8315070823802213e-10,2.1032064978498966e-7,2.817392491983051e-6,2.9941828690164785e-10,1.3779997825622559,0.0
3B,test_000338,r9-day-cbfdbca2-601a-4cf2-8d6a-390b67512ae3,solver_optimal,true,true,true,pass,0.0,384851.040878274,9.719513240154647e-13,3.3576269539177546e-14,0,292050.3464153371,92800.69446293719,-3.2255940141112663e-10,6.715253907835509e-11,1.8474111129762605e-7,2.4791800780995283e-6,5.958713799267804e-11,1.494999885559082,0.0
3B,test_000339,r9-day-57e7fc2f-f5ed-451d-a525-d09d15e9db71,solver_optimal,true,true,true,pass,0.0,384596.44471880846,9.720815169948755e-13,6.673299156781416e-14,0,292050.3464153371,92546.09830347152,-3.1389220112032496e-10,1.3346598313562833e-10,1.6655121726216748e-7,2.2348284028951945e-6,1.4780526208474178e-10,1.5969998836517334,0.0
3B,test_000340,r9-day-e53182b4-4f40-4441-b221-f4139ca3f2ea,solver_optimal,true,true,true,pass,0.0,385031.22812028095,1.0853264288564605e-12,8.675719644739331e-14,0,292050.3464153371,92980.88170494352,1.34470212742599e-10,1.7351439289478663e-10,2.404476617812179e-7,3.2378747430482105e-6,2.1441100038313165e-10,1.61899995803833,0.0
3B,test_000341,r9-day-af7301f9-960b-4d18-b927-869e4dc3a291,solver_optimal,true,true,true,pass,0.0,383756.9099388972,1.1584912899060208e-12,6.418502976677927e-14,0,292050.3464153371,91706.5635235597,2.268564003315987e-10,1.2837005953355854e-10,6.446043698815629e-7,8.667467533355635e-6,4.7603730864787155e-12,1.6429998874664307,0.0
3B,test_000342,r9-day-68f59199-8fe6-4a8a-9917-b9686f2142ac,solver_optimal,true,true,true,pass,0.0,385911.8063537109,1.2299838427478109e-12,7.157754274079436e-14,0,292050.3464153371,93861.45993837375,-1.1375789199519204e-10,1.4315508548158871e-10,8.355982572538778e-8,1.126633184852375e-6,2.2015127015761364e-10,1.4739999771118164,0.0
3B,test_000343,r9-day-3a69b433-5fae-409c-a8c8-8ddf5758e117,solver_optimal,true,true,true,pass,0.0,385248.74247012986,9.504836709719135e-13,6.480843009519246e-14,0,292050.3464153371,93198.39605479279,-1.6619736697975898e-10,1.296168601903849e-10,1.2471446098061278e-6,1.6744882814156143e-5,1.9361250458179559e-10,1.5189998149871826,0.0
