coordinate,free_column,numerator,denominator,approximate
41,33,0,1,0.0
41,34,0,1,0.0
41,35,0,1,0.0
41,36,0,1,0.0
41,37,0,1,0.0
41,38,0,1,0.0
42,1,0,1,0.0
42,2,0,1,0.0
42,25,0,1,0.0
42,26,0,1,0.0
42,27,0,1,0.0
42,28,0,1,0.0
42,29,0,1,0.0
42,30,0,1,0.0
42,31,0,1,0.0
42,32,0,1,0.0
42,33,0,1,0.0
42,34,0,1,0.0
42,35,0,1,0.0
42,36,0,1,0.0
42,37,0,1,0.0
42,38,0,1,0.0
43,1,0,1,0.0
43,2,0,1,0.0
43,25,0,1,0.0
43,26,0,1,0.0
43,27,0,1,0.0
43,28,0,1,0.0
43,29,0,1,0.0
43,30,0,1,0.0
43,31,0,1,0.0
43,32,0,1,0.0
43,33,0,1,0.0
43,34,0,1,0.0
43,35,0,1,0.0
43,36,0,1,0.0
43,37,0,1,0.0
43,38,0,1,0.0
44,1,0,1,0.0
44,2,0,1,0.0
44,25,0,1,0.0
44,26,0,1,0.0
44,27,0,1,0.0
44,28,0,1,0.0
44,29,0,1,0.0
44,30,0,1,0.0
44,31,0,1,0.0
44,32,0,1,0.0
44,33,0,1,0.0
44,34,0,1,0.0
44,35,0,1,0.0
44,36,0,1,0.0
44,37,0,1,0.0
44,38,0,1,0.0
45,1,0,1,0.0
45,2,0,1,0.0
45,25,0,1,0.0
45,26,0,1,0.0
45,27,0,1,0.0
45,28,0,1,0.0
45,29,0,1,0.0
45,30,0,1,0.0
45,31,0,1,0.0
45,32,0,1,0.0
45,33,0,1,0.0
45,34,0,1,0.0
45,35,0,1,0.0
45,36,0,1,0.0
45,37,0,1,0.0
45,38,0,1,0.0
46,1,0,1,0.0
46,2,0,1,0.0
46,25,0,1,0.0
46,26,0,1,0.0
46,27,0,1,0.0
46,28,0,1,0.0
46,29,0,1,0.0
46,30,0,1,0.0
46,31,0,1,0.0
46,32,0,1,0.0
46,33,0,1,0.0
46,34,0,1,0.0
46,35,0,1,0.0
46,36,0,1,0.0
46,37,0,1,0.0
46,38,0,1,0.0
47,1,0,1,0.0
47,2,0,1,0.0
47,25,0,1,0.0
47,26,0,1,0.0
47,27,0,1,0.0
47,28,0,1,0.0
47,29,0,1,0.0
47,30,0,1,0.0
47,31,0,1,0.0
47,32,0,1,0.0
47,33,0,1,0.0
47,34,0,1,0.0
47,35,0,1,0.0
47,36,0,1,0.0
47,37,0,1,0.0
47,38,0,1,0.0
48,1,0,1,0.0
48,2,0,1,0.0
48,25,0,1,0.0
48,26,0,1,0.0
48,27,0,1,0.0
48,28,0,1,0.0
48,29,0,1,0.0
48,30,0,1,0.0
48,31,0,1,0.0
48,32,0,1,0.0
48,33,0,1,0.0
48,34,0,1,0.0
48,35,0,1,0.0
48,36,0,1,0.0
48,37,0,1,0.0
48,38,0,1,0.0
