equation,scope,entity,t,residual,unit,tolerance,pass
3-39:40,model,R2,19,1.8985701899509877e-11,K,0.0001,true
3-41,model,2,19,0.0,K,0.0001,true
3-41,model,2,19,0.0,K,0.0001,true
3-23-kappa,model,2,19,0.0,kPa,0.005199261864978687,true
3-22,model,R2,19,0.0,normalized,1.0e-6,true
3-26,model,R2,19,0.0,normalized,1.0e-6,true
3-25,physics,R2,19,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,19,4.558842192636803e-11,K,0.0001,true
3-33:34,model,R2,19,4.558842192636803e-11,K,0.0001,true
3-39:40,model,R2,20,2.2737367544323206e-13,K,0.0001,true
3-41,model,2,20,0.0,K,0.0001,true
3-41,model,2,20,0.0,K,0.0001,true
3-23-kappa,model,2,20,0.0,kPa,0.005199261864978687,true
3-22,model,R2,20,0.0,normalized,1.0e-6,true
3-26,model,R2,20,0.0,normalized,1.0e-6,true
3-25,physics,R2,20,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,20,5.115907697472721e-13,K,0.0001,true
3-33:34,model,R2,20,5.115907697472721e-13,K,0.0001,true
3-39:40,model,R2,21,5.115907697472721e-13,K,0.0001,true
3-41,model,2,21,0.0,K,0.0001,true
3-41,model,2,21,0.0,K,0.0001,true
3-23-kappa,model,2,21,0.0,kPa,0.005199261864978687,true
3-22,model,R2,21,0.0,normalized,1.0e-6,true
3-26,model,R2,21,0.0,normalized,1.0e-6,true
3-25,physics,R2,21,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,21,1.7053025658242404e-12,K,0.0001,true
3-33:34,model,R2,21,1.7053025658242404e-12,K,0.0001,true
3-39:40,model,R2,22,0.0,K,0.0001,true
3-41,model,2,22,0.0,K,0.0001,true
3-41,model,2,22,0.0,K,0.0001,true
3-23-kappa,model,2,22,0.0,kPa,0.005199261864978687,true
3-22,model,R2,22,0.0,normalized,1.0e-6,true
3-26,model,R2,22,0.0,normalized,1.0e-6,true
3-25,physics,R2,22,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,22,0.0,K,0.0001,true
3-33:34,model,R2,22,0.0,K,0.0001,true
3-39:40,model,R2,23,5.684341886080802e-14,K,0.0001,true
3-41,model,2,23,0.0,K,0.0001,true
3-41,model,2,23,0.0,K,0.0001,true
3-23-kappa,model,2,23,0.0,kPa,0.005199261864978687,true
3-22,model,R2,23,0.0,normalized,1.0e-6,true
3-26,model,R2,23,0.0,normalized,1.0e-6,true
3-25,physics,R2,23,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,23,9.839595804805867e-11,K,0.0001,true
3-33:34,model,R2,23,9.839595804805867e-11,K,0.0001,true
3-39:40,model,R2,24,1.6000115010683658e-8,K,0.0001,true
3-41,model,2,24,0.0,K,0.0001,true
3-41,model,2,24,0.0,K,0.0001,true
3-23-kappa,model,2,24,0.0,kPa,0.005199261864978687,true
3-22,model,R2,24,0.0,normalized,1.0e-6,true
3-26,model,R2,24,0.0,normalized,1.0e-6,true
3-25,physics,R2,24,0.0,normalized,1.0e-6,true
