method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,15,1,13,2,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,3,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,4,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,5,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,6,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,7,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,8,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,9,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,10,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,11,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,12,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,13,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,14,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,15,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,16,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,17,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,18,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,19,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,20,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,21,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,22,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,23,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,24,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,1,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,2,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,3,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,4,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,5,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,6,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,7,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,8,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,9,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,10,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,11,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,12,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,13,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,14,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,15,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,16,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,17,1.0,0.0,1
