record_id,run_id,scenario,building,t,dt_h,room_K,comfort_lower_K,comfort_upper_K,heat_MW,import_MW,request_MW,delivered_MW,mismatch_MW
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,down,building,1,0.25,293.15,293.15,293.15,0.042000000000000454,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,none,building,1,0.25,293.15000000000003,293.15,293.15,0.04200000000000023,0.07999999999998997,0.0,-5.551115123125783e-17,5.551115123125783e-17
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,up,building,1,0.25,293.15000000000003,293.15,293.15,0.04200000000000019,2.547322594740834e-15,0.07999999999998872,0.07999999999998736,1.3600232051658168e-15
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,down,building,1,0.25,293.15000000000003,293.15,293.15,0.042000000000000176,0.14200000000000032,-0.062000000000015806,-0.06200000000001041,5.398459457239824e-15
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.08,0.0,0.0,0.0
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.0,0.08,0.08,0.0
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,down,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.14199999999999913,-0.06199999999999913,-0.061999999999999125,6.938893903907228e-18
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999846,0.07999999999994596,0.0,-8.326672684688674e-17,8.326672684688674e-17
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,up,building,1,1.0,293.15,293.15,293.15,0.0419999999999985,3.7333792996083724e-15,0.07999999999994367,0.07999999999994215,1.5265566588595902e-15
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,down,building,1,1.0,293.15,293.15,293.15,0.041999999999998774,0.14199999999999738,-0.06200000000005474,-0.0620000000000515,3.2404634531246757e-15
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.08,0.0,0.0,0.0
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.0,0.08,0.08,0.0
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,down,building,1,1.0,294.15,293.15,293.15,0.056199999999999146,0.15477999999999914,-0.07477999999999914,-0.07477999999999914,0.0
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,none,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999803,0.0799999999999411,0.0,-1.3877787807814457e-17,1.3877787807814457e-17
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,up,building,1,1.0,293.1499999999999,293.15,293.15,0.0420000000000001,-2.4424930787713216e-16,0.07999999999994176,0.07999999999994134,4.163336342344337e-16
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,down,building,1,1.0,294.1499999999999,293.15,293.15,0.056199999999998376,0.15477999999999872,-0.07478000000005801,-0.07478000000005763,3.7470027081099033e-16
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.08,0.0,0.0,0.0
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.0,0.08,0.08,0.0
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,down,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.14199999999999913,-0.06199999999999913,-0.061999999999999125,6.938893903907228e-18
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,none,building,1,1.0,293.1499999999999,293.15,293.15,0.041999999999998705,0.07999999999994603,0.0,-2.7755575615628914e-17,2.7755575615628914e-17
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,up,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999862,2.5632925755135108e-15,0.079999999999944,0.07999999999994344,5.689893001203927e-16
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,down,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999881,0.14199999999999763,-0.062000000000049786,-0.062000000000051625,1.8388068845354155e-15
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.08,0.0,0.0,0.0
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.0,0.08,0.08,0.0
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,down,building,1,1.0,294.15,293.15,293.15,0.056199999999999146,0.15477999999999914,-0.07477999999999914,-0.07477999999999914,0.0
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,none,building,1,1.0,293.15,293.15,293.15,0.0419999999999992,0.0799999999999247,0.0,-6.938893903907228e-17,6.938893903907228e-17
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999932,3.589827779434011e-15,0.07999999999992273,0.07999999999992104,1.6930901125533637e-15
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,down,building,1,1.0,294.14999999999924,293.15,293.15,0.056199999999988884,0.15477999999998904,-0.07478000000006718,-0.0747800000000644,2.7755575615628914e-15
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,none,building,1,1.0,292.1499999999999,293.15,293.15,0.02779999999999892,0.08,0.0,0.0,0.0
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,up,building,1,1.0,292.1499999999999,293.15,293.15,0.02779999999999892,0.0,0.08,0.08,0.0
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,down,building,1,1.0,294.15,293.15,293.15,0.056199999999999146,0.15477999999999914,-0.07477999999999914,-0.07477999999999914,0.0
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,none,building,1,1.0,292.1500000000005,293.15,293.15,0.02780000000000881,0.07999999999990533,0.0,-4.163336342344337e-17,4.163336342344337e-17
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,up,building,1,1.0,292.1500000000001,293.15,293.15,0.027800000000002427,1.29066259134e-15,0.07999999999990501,0.079999999999904,1.0130785099704553e-15
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,down,building,1,1.0,294.1499999999997,293.15,293.15,0.05619999999999713,0.15477999999999706,-0.07478000000009312,-0.07478000000009177,1.3461454173580023e-15
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.08,0.0,0.0,0.0
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,up,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.0,0.08,0.08,0.0
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,down,building,1,1.0,293.15,293.15,293.15,0.04199999999999903,0.14199999999999913,-0.061999999999999125,-0.061999999999999125,0.0
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,none,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999882,0.07999999999971005,0.0,-6.938893903907228e-17,6.938893903907228e-17
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,up,building,1,1.0,293.1499999999999,293.15,293.15,0.0419999999999984,1.6065032060146366e-15,0.07999999999971426,0.07999999999970837,5.88418203051333e-15
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,down,building,1,1.0,293.1499999999999,293.15,293.15,0.041999999999998844,0.1419999999999986,-0.06200000000029932,-0.062000000000288616,1.0706713293728853e-14
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,none,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.08000000000000007,0.0,0.0,0.0
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.0,0.08000000000000007,0.08000000000000007,0.0
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,down,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.14200000000000004,-0.06199999999999997,-0.06199999999999997,0.0
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,none,building,1,1.0,293.15,293.15,293.15,0.041999999999999815,0.08000000000000007,0.0,0.0,0.0
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999815,0.0,0.08000000000000007,0.08000000000000007,0.0
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,down,building,1,1.0,294.15,293.15,293.15,0.05620000000000047,0.1547799999999994,-0.0747799999999993,-0.07477999999999932,1.3877787807814457e-17
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,none,building,1,1.0,293.33804135952664,292.15,294.15,0.03432495126911417,0.12,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,none,building,2,1.0,292.15,292.15,294.15,0.006239172809466708,0.09000000000000002,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,none,building,3,1.0,292.15,292.15,294.15,0.027000000000000454,0.0,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,none,building,4,1.0,293.15,292.15,294.15,0.04699999999999932,0.0821891971171482,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,up,building,1,1.0,293.9038378484343,292.15,294.15,0.05033827051398854,0.12,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,up,building,2,1.0,295.15,292.15,294.15,0.06692324303131314,0.010000000000000023,0.08,0.08,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,up,building,3,1.0,293.4543478260869,292.15,294.15,0.0,0.0,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,up,building,4,1.0,293.15,292.15,294.15,0.023913043478260874,0.0821891971171482,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,down,building,1,1.0,292.15,292.15,294.15,0.0,0.12,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,down,building,2,1.0,292.15,292.15,294.15,0.027000000000000454,0.09000000000000002,0.0,0.0,0.0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,down,building,3,1.0,292.15,292.15,294.15,0.02399999999999977,0.0,0.0,0.0,0.0
