stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
2,diagnostic,3-32,model,1,1,0.0,1,1.0e-6,true
2,diagnostic,3-28,model,1,1,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,1,0.0,1,1.0e-6,true
2,diagnostic,3-31,model,1,1,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,1,0.0,1,1.0e-6,true
2,diagnostic,3-23,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,R2-fixed-flow,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-27,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-30,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-32,model,1,2,0.0,1,1.0e-6,true
2,diagnostic,3-28,model,1,2,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,2,0.0,1,1.0e-6,true
2,diagnostic,3-31,model,1,2,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,2,0.0,1,1.0e-6,true
2,diagnostic,3-23,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,R2-fixed-flow,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-27,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-30,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-32,model,1,3,0.0,1,1.0e-6,true
2,diagnostic,3-28,model,1,3,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,3,0.0,1,1.0e-6,true
2,diagnostic,3-31,model,1,3,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,3,0.0,1,1.0e-6,true
2,diagnostic,3-23,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,R2-fixed-flow,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-27,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-30,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-32,model,1,4,0.0,1,1.0e-6,true
2,diagnostic,3-28,model,1,4,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,4,0.0,1,1.0e-6,true
2,diagnostic,3-31,model,1,4,0.0,1,1.0e-6,true
2,diagnostic,3-29:32,model,1,4,0.0,1,1.0e-6,true
2,diagnostic,3-39:40,model,S1,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,1,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,1,0.0,kPa,0.001,true
2,diagnostic,3-22,model,S1,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,S1,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,S1,1,0.0953789172120176,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,S1,1,1.7053025658242404e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,S1,1,1.7053025658242404e-13,K,0.0001,true
2,diagnostic,3-39:40,model,S1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,2,0.0,kPa,0.001,true
2,diagnostic,3-22,model,S1,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,S1,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,S1,2,0.0953789172120176,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,S1,2,9.663381206337363e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,S1,2,9.663381206337363e-13,K,0.0001,true
2,diagnostic,3-39:40,model,S1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,3,0.0,kPa,0.001,true
2,diagnostic,3-22,model,S1,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,S1,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,S1,3,0.0953789172120176,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,S1,3,1.0231815394945443e-12,K,0.0001,true
2,diagnostic,3-33:34,relaxed,S1,3,1.0231815394945443e-12,K,0.0001,true
2,diagnostic,3-39:40,model,S1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
