record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","1","4.0","342.14999999999986","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","1","4.0","342.14999999999986","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","2","2.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","2","2.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","2","3.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","2","3.0","334.9595238095237","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","2","4.0","342.1499999999999","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","2","4.0","342.1499999999999","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","1","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","1","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","1","4.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","1","4.0","315.9119047619047","K"
