method,t,dt_h,P_grid_MW,grid_loss_MW,H_generation_MW,H_demand_and_charge_MW,heat_loss_MW,heat_balance_MW
equipment-joint-central-socp,19,1.0,41.51442526996726,0.3225413634971012,9.482932192452587,9.072226815125056,0.41070537732049217,7.038924998425955e-12
equipment-joint-central-socp,20,1.0,37.904453475323514,0.2849965806945361,8.887506121506199,8.476800744178588,0.41070537732049217,7.118861056198966e-12
equipment-joint-central-socp,21,1.0,33.95048114142211,0.240287445932767,8.48980283643573,8.079097459108176,0.41070537732049217,7.062017637338158e-12
equipment-joint-central-socp,22,1.0,38.59194172981702,0.22413171230827766,8.800032901096142,8.389327523771438,0.41070537732049217,4.210964910100756e-12
equipment-joint-central-socp,23,1.0,36.48690686905891,0.2023189466195799,9.015895354907004,8.605189977582299,0.41070537732049217,4.2127412669401565e-12
equipment-joint-central-socp,24,1.0,33.880712539239774,0.17742128590392034,9.246576233490137,8.8358708561654,0.41070537732049217,4.244715690049361e-12
equipment-joint-central-exact,1,1.0,32.376419846184476,0.15907831440247552,8.293943768866676,7.88323839154957,0.41070537732049217,-3.386513292014115e-12
equipment-joint-central-exact,2,1.0,30.915489678527763,0.14599538588691022,8.420584925357161,8.009879548000768,0.41070537732049217,3.5901170925001225e-11
equipment-joint-central-exact,3,1.0,30.187497369854178,0.13909146284504847,8.672959146170694,8.2622537715067,0.41070537732049217,-2.656498021558207e-9
equipment-joint-central-exact,4,1.0,29.840113044180885,0.1358090646505727,8.8,8.389294621316242,0.41070537732049217,1.3632660555984444e-9
equipment-joint-central-exact,5,1.0,30.534923639654615,0.14243342166656847,8.8,8.389294621763302,0.41070537732049217,9.162067771129045e-10
equipment-joint-central-exact,6,1.0,27.936946342912215,0.16291033994198686,9.014194773010722,8.60348939568345,0.41070537732049217,6.7795768998735184e-12
equipment-joint-central-exact,7,1.0,33.329311508762004,0.20844573369508695,9.813504918902929,9.402799541601487,0.41070537732049217,-1.9050427901845524e-11
equipment-joint-central-exact,8,1.0,37.98344801308537,0.26011417203562354,10.209637849159076,9.798932471598212,0.41070537732049217,2.4037227763784585e-10
equipment-joint-central-exact,9,1.0,37.51968286715156,0.2923108508992063,9.682139009901428,9.27143363231796,0.41070537732049217,2.6297641841921404e-10
equipment-joint-central-exact,10,1.0,36.63680991105514,0.30212087745066557,8.8878380638087,8.477132686711029,0.41070537732049217,-2.2282165001996646e-10
equipment-joint-central-exact,11,1.0,35.372176708302064,0.3009007321872486,8.290953936178205,7.880248558191544,0.41070537732049217,6.661694529341844e-10
equipment-joint-central-exact,12,1.0,32.71701403037341,0.27478177010370186,8.092213473239175,7.6815080968540865,0.41070537732049217,-9.354036434316981e-10
equipment-joint-central-exact,13,1.0,32.777206964303645,0.2564902014205466,8.586228516694359,8.17552314913507,0.41070537732049217,-9.761204178282412e-9
equipment-joint-central-exact,14,1.0,31.939199426186526,0.24183532802007218,8.810601386852777,8.399896013150556,0.41070537732049217,-3.6182709051146844e-9
equipment-joint-central-exact,15,1.0,34.84288703791455,0.26309455857995284,9.010336050031514,8.599630675691806,0.41070537732049217,-2.9807843970885983e-9
equipment-joint-central-exact,16,1.0,39.047282207492664,0.293322504328986,9.581777690730021,9.171072314924995,0.41070537732049217,-1.5154658639104923e-9
equipment-joint-central-exact,17,1.0,42.78358487221561,0.3272004319839938,10.080077700125456,9.669372321304499,0.41070537732049217,1.5004647524463621e-9
equipment-joint-central-exact,18,1.0,42.957458430757214,0.3430556932708016,9.88073648829942,9.470031110749257,0.41070537732049217,2.2966972768045935e-10
equipment-joint-central-exact,19,1.0,41.51434142822208,0.3221162195288034,9.482912560799285,9.07220718320371,0.41070537732049217,2.7508229027972675e-10
equipment-joint-central-exact,20,1.0,37.90440617281835,0.28498115604593266,8.887511662733884,8.476806284961187,0.41070537732049217,4.522046070931651e-10
equipment-joint-central-exact,21,1.0,33.95044987705458,0.24027694897443938,8.489807384483743,8.079102007670361,0.41070537732049217,-5.071097985975825e-10
equipment-joint-central-exact,22,1.0,38.56077206745999,0.22390465905996662,8.8,8.389294629294252,0.41070537732049217,-6.6147433086527485e-9
equipment-joint-central-exact,23,1.0,36.57262781117054,0.20221281364399785,9.000221545675323,8.589516168332594,0.41070537732049217,2.2237434116334498e-11
equipment-joint-central-exact,24,1.0,33.88061381352883,0.17736260909992702,9.246584895209804,8.835879539359656,0.41070537732049217,-2.1470344502283467e-8
