run_id,stage,equation,scope,entity,t,residual,unit,tolerance,pass
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_dis,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_dis,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_dis,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_dis,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_D,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_D,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_D,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_D,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_D,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_D,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_D,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_D,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_src,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_src,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_src,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,H_src,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_P,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_P,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_P,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_P,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_H,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_H,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,w_H,3,0.0,native,1.0e-6,true
